本次只整理了物品和技能ID 

1. 添加物品，#additem 物品ID 数量；例：#additem 10000 1
2. 学习技能，#studyskill 技能ID；例：#studyskill 1401
3: 技能升级, #upgradeskill 技能ID;
4: 技能点    #addskillpoint 数量
5: 增加经验  #addexp 数量
6: 增加金币  #addcoin 5000 数量
7：增加绑定金币  #addbindcoin 数量
8：增加元宝	#addgold 数量
9: 接取任务     #accepttask id
10 完成任务     #finishtask id

物品对应的ID
	
10000	布衣(男)
10001	布衣(女)
10002	轻盔甲（男）
10003	轻盔甲（女）
10004	重盔甲（男）
10005	重盔甲（女）
10006	灵魂战袍(男）
10007	灵魂战袍(女）
10008	魔力长袍（男）
10009	魔力长袍（女）
10010	战神铁甲（男）
10011	战神铁甲（女）
10012	幽魂战衣（男）
10013	幽魂战衣（女）
10014	恶魔法袍（男）
10015	恶魔法袍（女）
10016	天魔神甲（男）
10017	天魔神甲（女）
10018	魔神披风（男）
10019	魔神披风（女）
10020	天尊道袍（男）
10021	天尊道袍（女）
10022	神武战甲（男）
10023	神武战甲（女）
10024	玄天道袍（男）
10025	玄天道袍（女）
10026	幻魔法袍（男）
10027	幻魔法袍（女）
10028	恶龙圣铠（男）壹
10029	恶龙圣铠（女）壹
10030	神圣道袍（男）壹
10031	神圣道袍（女）壹
10032	死神披风（男）壹
10033	死神披风（女）壹
10034	恶龙圣铠（男）贰
10035	恶龙圣铠（女）贰
10036	神圣道袍（男）贰
10037	神圣道袍（女）贰
10038	死神披风（男）贰
10039	死神披风（女）贰
10040	恶龙圣铠（男）叁
10041	恶龙圣铠（女）叁
10042	神圣道袍（男）叁
10043	神圣道袍（女）叁
10044	死神披风（男）叁
10045	死神披风（女）叁
10046	恶龙圣铠（男）肆
10047	恶龙圣铠（女）肆
10048	神圣道袍（男）肆
10049	神圣道袍（女）肆
10050	死神披风（男）肆
10051	死神披风（女）肆
10052	恶龙圣铠（男）伍
10053	恶龙圣铠（女）伍
10054	神圣道袍（男）伍
10055	神圣道袍（女）伍
10056	死神披风（男）伍
10057	死神披风（女）伍
10058	破天圣铠（男）绝
10059	破天圣铠（女）绝
10060	轮回道袍（男）绝
10061	轮回道袍（女）绝
10062	弑神披风（男）绝
10063	弑神披风（女）绝
10064	破天圣铠（男）狂
10065	破天圣铠（女）狂
10066	轮回道袍（男）狂
10067	轮回道袍（女）狂
10068	弑神披风（男）狂
10069	弑神披风（女）狂
10070	破天圣铠（男）尊
10071	破天圣铠（女）尊
10072	轮回道袍（男）尊
10073	轮回道袍（女）尊
10074	弑神披风（男）尊
10075	弑神披风（女）尊
10076	破天圣铠（男）圣
10077	破天圣铠（女）圣
10078	轮回道袍（男）圣
10079	轮回道袍（女）圣
10080	弑神披风（男）圣
10081	弑神披风（女）圣
10082	破天圣铠（男）神
10083	破天圣铠（女）神
